course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year,revenue
1016996,Introduction to Corporate Finance (Mergers & Acquisitions),https://www.udemy.com/introduction-to-corporate-finance/,False,0,2080,83.0,30.0,Beginner Level,1.5,Business Finance,2017,0
1046992,Forex & Financial Market Trading Tutorial- Online Strategies,https://www.udemy.com/forex-education-school-pforex/,False,0,3137,30.0,69.0,All Levels,9.0,Business Finance,2017,0
1088656,Quantitative Trading Analysis with Python,https://www.udemy.com/quantitative-trading-analysis-with-python/,True,50,256,17.0,49.0,All Levels,5.5,Business Finance,2017,12800
1187758,Options Trading Essentials: The ULTIMATE Guides,https://www.udemy.com/options-trading-essentials/,False,0,1352,6.0,20.0,All Levels,4.0,Business Finance,2017,0
1257502,The Complete Litecoin Crypto Currency Bootcamp,https://www.udemy.com/the-complete-litecoin-crypto-currency-bootcamp/,True,20,7,3.0,24.0,All Levels,1.0,Business Finance,2017,140
1215926,Kickstarter success in 5 easy steps,https://www.udemy.com/kickstarter-success-in-5-easy-steps/,True,20,0,0.0,12.0,All Levels,0.516666667,Business Finance,2017,0
1249146,Planning and Executing a Financial Statement Audit,https://www.udemy.com/planning-executing-financial-statement-audit/,True,50,0,0.0,,Intermediate Level,2.0,Business Finance,2017,0
1233894,The Latest Updates 2016 Financial Accounting Standards Board,https://www.udemy.com/2016-fasb-updates/,True,50,1,0.0,9.0,Intermediate Level,2.0,Business Finance,2017,50
1221942,Basic Bookkeeping,https://www.udemy.com/basic-bookkeeping-course/,True,35,0,0.0,12.0,Beginner Level,0.733333333,Business Finance,2017,0
1169196,Credit concepts and checklist for bankers credit analyst,https://www.udemy.com/credit-concepts-and-checklist-for-bankers-credit-analyst/,True,20,0,0.0,10.0,Beginner Level,2.5,Business Finance,2017,0
1271182,Practical Film Financing: Finding & Pitching Investors,https://www.udemy.com/indiefilm-financing/,True,100,0,0.0,9.0,Beginner Level,1.0,Business Finance,2017,0
1233302,Ratio Analysis for Financial Statements,https://www.udemy.com/ratio-analysis-financial-statements/,True,50,0,0.0,6.0,Beginner Level,2.0,Business Finance,2017,0
1231958,60 Minutes to Fundamental Accounting Skills,https://www.udemy.com/60-minute-fundamental-accounting-skills/,True,75,0,0.0,9.0,Beginner Level,2.5,Business Finance,2017,0
1209556,Hedge Fund Trading Systems Part Two - Stocks & ETFs,https://www.udemy.com/hedge-fund-trading-systems-two/,True,200,56,10.0,23.0,Expert Level,2.5,Business Finance,2017,11200
696342,FOREX: From Zero To Hero,https://www.udemy.com/forex-from-zero-to-hero/,True,150,152,,26.0,All Levels,3.0,Business Finance,2017,22800
745832,Succeed at Options Even If You Don't Know Where to Start,https://www.udemy.com/succeed-at-options-even-if-you-dont-know-where-to-start/,True,200,36,1.0,12.0,All Levels,1.5,Business Finance,2017,7200
1101382,Binary Options Masterclass,https://www.udemy.com/binary-options-masterclass/,True,200,70,11.0,16.0,All Levels,2.0,Business Finance,2017,14000
1169188,Energiespar-Formel // Mehr Geld durch Wasser sparen Zuhause,https://www.udemy.com/energiespar-formel-mehr-geld-durch-wasser-sparen-zuhause/,True,50,21,2.0,54.0,All Levels,1.5,Business Finance,2017,1050
